index,categories,overall_sentiment,review

"

35,price:2★ breakfast:3★ cleanliness:3★ service:5★ location:3★,16,"Jul 25 2009	With excellent service and accommodation this hotel provides fantastic value	Despondent having read so many negative comments about the hotel I arrived as part of a bus tour from Scotland expecting grubby and noisy surroundings. To our delight we quickly realised that we were about to be treated to four very pleasant nights. I had asked for a quiet single room and found that without any fuss on our arrival I had been given this on the tenth floor overlooking the Thames. The bed was comfortable and although a light sleeper I slept well. The room and en suite were spotless and attentively attended to by housekeeping every morning; the buffet breakfasts and dinners offered a wide choice in the restaurant which looked out over Canary Wharf (indeed if you sat by the window it felt as though you were at sea!); and all of the staff were particularly helpful and pleasant. There was no question of being treated as a second-class citizen because we were on a bus trip. Independent travellers need have no fear since although a lot of groups were staying at the hotel it seemed that they had separate restaurant accommodation although I cannot be certain about this. The hotel is ideally situated for all of London since it is very close to Canary Wharf Tube Station and to The Docklands Light Railway. It took me twenty minutes to reach the hotel from the National Theatre on the South Bank and the same time to Greenwich Maritime Museum on the DLR. A Day Ticket will cost you only ï¿½5.60. So please do not be put off by the complaints below; I don't understand how anyone could find fault with the hotel.	
"

36,breakfast:0★ cleanliness:0★ price:0★ service:0★ location:0★,-13,"Jul 14 2009 	So bad that I left a day early despite having paid in full	The staff had ignoring guests down to a fine art the breakfast was pure slop and the shower in the room was a mere trickle the room was stuffy and noisy the hotel itself was a bit on the dirty side the only good thing was the concierge who was always pleasant	
"

37,breakfast:1★ cleanliness:1★ service:1★ price:1★ location:0★,4,"Jul 7 2009 	Hmm...old and smelly	I've been to some nice hotels in my time...this definitely wasn't one of them. Only stayed for one night (thankfully). When I got there for some reason there wasn't a room booked for me...annoying. Then when I finally got a room it was decorated in an old fashioned way (not my style) and it had an old smell about it. It wasn't too far from canary wharf which was probably the best thing about it. Wasn't impressed...don't think I'd stay there again. Maybe I'm being a little bit harsh...it was good enough for the night really but wouldn't want to stay a bit longer. I have become a bit of a snob when it comes to hotels as well now!	
"

38,breakfast:0★ cleanliness:0★ service:1★ price:1★,2,"Jul 6 2009 	Not 4 Star	You can stay in this hotel but do not expect anything. Rooms are more or less clean but we had one dirty towel and two dirty pillow sheets. Breakfast (continental) is very very basic (bun &amp; croissant with marmalade and some cereals orange juice and coffe/tea).Definitely okay if you just want to sleep there.	
"

39,breakfast:1★ cleanliness:1★ service:2★ price:0★ location:0★,0,"Jun 16 2009 	Fine Hotel	Stayed 4 nghts in April. After reading the reviews on this page I was concerned but I think some people like to complain. The room was bigger than expected the bathrom was clean furnishings in good condition breakfast was plentiful with lots of choice. The walk to Canary Wharf was closer than I thought it may have been. If you prepurchase a Travelcard it is cheap to get around. Stayed at a more expensive hotel closer to the city centre after our trip to Europe and it was nowhere near as good as this one.On the downside we found everywhere in the UK was overheated and this was no exception.	
"

40,location:2★ service:3★ breakfast:1★ cleanliness:1★ price:1★,8,"Jun 13 2009 	Great views  nice place to stay	Although showing its age our stay at this hotel was very enjoyable. It is close to all Londons tourist attractions. The Bar facility is quiet and enjoyable to Chill out after the hustle and bustle. The staff are very attentive and a credit to the hotel. A word to the wise 90 Pound cab fare from heathrow.	
"

41,breakfast:0★ cleanliness:0★ price:0★ service:0★ location:0★,-27,"Jun 11 2009 	SOMEWHERE TO LAY YOUR HEAD!!!	If you want to tour London all day and just need a place to rest your head after a days journey then this is the Hotel for you. And that's is exactly what we did for the 6 nights we stayed in London. The hotel is pretty much what everyone says a three star hotel at best the beds are not the greatest-you do feel the springs poking your body and the rooms could by all measures use a face lift. My friend did ask for another mattress and he was provided with one in the same day. The bathroom was decent the shower was probably the best aspect of the entire room. The room was smal but I guess that should be expected. We had one problem the sink would not drain our second day there. But Housekeeping fixed the problem by the time we returned to the room later in the evening. I really didn't have too much interaction with the staff but the little I did went relatively well no coplaints there. The hotel is not far from the Tube either but the cab ride from the airport to the hotel cost 40 pounds way to much. We ended up taking a series of trains to the airport for the return journey home. Took about an hour and a half and 4 - 5 different trains but well worth not spending 40pounds on a cab. I will not stay at this hotel if I visitt London again though. It's an OK hotel it doesn't require more than one extended stay.	
"

42,breakfast:2★ cleanliness:2★ price:3★ service:1★ location:1★,9,"Jun 10 2009 	My first trip to london	I booked my weekend with superbreak and paid ï¿½180 for the 2 of us for 2 nights and rail tickets superb value for money.The hotel in docklands was clean and spacious the food wasnt great but that was ok as we were out most of the time.We went to see britney spears and even though the DLR wasnt working the rail replacement service was superb we were there within an hour and back within 45mins without a single problem.I think the London transport system is fantastic the longest we waited on a train was 8mins.We did some of the tourist spots but didnt have enough hours in the day to see everythingI loved London and cant wait to go back	
"

43,breakfast:1★ cleanliness:2★ price:4★ service:2★ location:3★,12,"Jun 2 2009 	A bit old fashioned - needs updating!!!	I stayed here for 1 night as i was going to the O2 to watch a concert so in terms of location it was fairly good although when you come off the tube at Canary Wharf i wouldn't really want to be lugging suitcases as is still a 10 minute walk from station across a bridge and through a carpark!!!The foyer was very grand but old fashioned very green with chandeliers and it had a bar in the lobby area which was quite nice.We upgraded to a superior suite for ï¿½20 which they were saying was a 1 day special only but not too sure of that. Quite frankly not really worth the ï¿½20. The room was big but looked like a 70's sitting room and even though it had a nice view it was a communal balcony which shocked me as a random man walked past!!! When you open the door there was a spiral staircase to take you to room again if i had suitcases i would not be happy it was bad enough after a few drinks!!I did not have breakfast as left early but don't think i would've missed much.All in all a good budget hotel if you stay for maybe a couple of nights max but no more than that.	
"

44,breakfast:3★ cleanliness:1★ price:2★ service:1★ location:0★,7,"Jun 1 2009 	What a stunning view!	Great deal (ï¿½58 for 2 inc. excellent continental breakfast.) View from the 6th floor room was wonderful- across Heron Dock to the Dome. Staff were very pleasant room very clean. Only 1 drawback- near bye Underground is closed at the moment (May 09)	
"

45,breakfast:0★ cleanliness:0★ price:1★ service:0★ location:2★,-12,"May 31 2009 	Definately Not 4 Star!!	Where do I start? Well when booking we requested a room on the first to third floor as my husband does not do elevators. When checking in we were given a room on the 8th floor. We were told that the rooms on the first to 6th floors were only twin beds that could not be moved together and were smoking rooms. Meanwhile we noticed that our room had two twin beds pushed together! The hotel needs to put some money into refurbishing.....it is very tired looking. The bathroom had peeling paint on the ceilings the toilet flusher was attached to the wall and very loose and the taps which once must have been a gold color were now a scatchy looking silver brown.We had a very uncomfortable sleep as the springs in the mattress were sticking into our ribs and we heard the trains going most of the evening and early morning. Noticed that the window was missing some screws and was open at the top. We informed Front Desk about our problem with the mattress and window. They sent someone up to fix the window. At first they were going to switch us to another room and then suddenly there was not another room. We asked for a second duvet to make the mattress more comfortable for sleeping and when we returned from our evening out they had only given us the blanket that was in the closet. Our friends gave us their blanket from their room and when we lifted the sheets to put the blankets under them we were appauled at what we saw. The mattress was worn stained and on the side it was falling apart. My friend took pictures with her camera and hopefully will post them but her comment was &quot;I wouldn't let my dog sleep on that mattress!&quot; Don't expect too much in the continental breakfast....it only consists of cereal croissants and buns. We had a difficult time getting someone to give us more cream for our coffee....none of the staff are very accomodating or attentive to their customers needs. (A little note here.....we were visiting friends in the UK from Canada and stayed here to see some of the sights of London. We are all very open minded but we felt more of an intrusion on the staff none of whom seemed very excited about working at this hotel). The Front Desk staff are not very pleasant to speak to....(usually you get a smile and a &quot;How can I help you&quot; when you approach the front desk....but not at this hotel)....very somber and stodgy employees!! On our second night we were talking to the barman and as he seemed very unhappy working there we asked him if he liked his job. His response was &quot;of course not&quot;. Apparently he is an aspiring Polish IT guy who cannot get a job in his field in the UK as his written English is not very good and so he lowered himself to the job of Barman for now. The only time we got a smile out of him was when we gave him a nice tip. I think the only way to get him to show a little more enthusiasm and life would have been to light a fire under his butt.I think I have covered pretty much our experience with this hotel. Would I go back....no way....would I recommend it to a friend....no way....Would I recommend it to an enemy....DEFINATELY!! (just to get even)Anyway....take my advise....or don't....I just want to make sure that people are advised about our experience before they make their own decision. I am sure that by putting in some of the money that is charged for the room to upgrade the Hotel it may one day be the hotel that it once was.....but for now I would stay clear!!Nora WhiteCambridge Ontaro Canada	
"

